sim_name,result
90_30-with-70_40,0.040825
90_30-with-1_20,-0.195551
90_30-with-10_1,-0.048922
90_30-with-70_30,0.017889
90_30-with-1_30,-0.200542
90_30-with-30_20,-0.044233
90_30-with-10_80,0.001952
90_30-with-90_80,0.016000
90_30-with-100_20,-0.093333
90_30-with-10_100,-0.024653
90_30-with-10_40,-0.024444
90_30-with-1_80,-0.172102
90_30-with-80_70,-0.004815
90_30-with-40_1,-0.031758
90_30-with-20_40,-0.012674
90_30-with-1_90,-0.158093
90_30-with-1_100,-0.162503
90_30-with-30_10,-0.074286
90_30-with-90_100,0.020000
90_30-with-70_100,0.029938
90_30-with-20_1,-0.043133
90_30-with-30_1,-0.019157
90_30-with-20_30,-0.012778
90_30-with-20_100,0.005714
90_30-with-50_30,-0.026833
90_30-with-70_60,-0.005345
90_30-with-50_90,0.042762
90_30-with-90_90,0.020000
90_30-with-60_80,0.023253
90_30-with-20_50,-0.012380
90_30-with-1_10,-0.192695
90_30-with-20_90,0.006084
90_30-with-90_10,-0.140000
90_30-with-1_70,-0.173100
100_10-with-100_40,0.093333
100_10-with-60_70,0.069488
100_10-with-30_50,0.040959
100_10-with-90_60,0.019518
100_10-with-20_20,-0.002222
100_10-with-20_10,-0.017889
100_10-with-50_1,0.042387
100_10-with-40_30,0.054286
100_10-with-1_1,-0.116828
100_10-with-20_80,0.021131
100_10-with-100_60,0.076000
100_10-with-1_40,-0.154923
100_10-with-80_1,0.074677
100_10-with-90_20,0.293333
100_10-with-10_10,-0.037765
100_10-with-50_20,0.024653
100_10-with-10_90,0.029561
100_10-with-30_70,0.060842
100_10-with-10_50,0.001847
100_10-with-40_90,0.030650
100_10-with-70_20,0.022857
100_10-with-1_60,-0.136447
100_10-with-70_70,0.049463
100_10-with-100_80,0.060000
100_10-with-60_10,-0.004472
100_10-with-90_1,0.209020
100_10-with-60_30,0.057155
100_10-with-100_30,0.150000
100_10-with-30_30,0.017332
100_10-with-10_60,0.024920
100_10-with-80_30,0.133333
100_10-with-80_90,0.033708
100_10-with-60_40,0.085420
100_10-with-10_70,0.000000
100_10-with-50_10,0.021466
100_10-with-90_40,0.037482
100_10-with-70_90,0.083000
100_10-with-60_60,0.098387
100_10-with-60_90,0.056737
100_10-with-40_10,-0.038759
100_10-with-10_20,-0.001978
100_10-with-70_50,0.099614
100_10-with-20_60,0.033181
100_10-with-60_20,0.030551
100_10-with-60_100,0.031841
100_10-with-30_40,0.038179
100_10-with-100_90,0.055000
100_10-with-100_1,0.400000
100_10-with-50_60,0.056000
100_10-with-40_80,0.055697
100_10-with-40_20,-0.014744
100_10-with-40_40,0.013608
100_10-with-60_1,0.074532
100_10-with-80_20,0.155134
100_10-with-30_60,0.051685
100_10-with-30_80,0.047619
100_10-with-80_60,0.058424
100_10-with-80_40,0.144321
100_10-with-80_100,0.066856
100_10-with-80_50,0.109109
100_10-with-90_70,0.091754
100_10-with-80_80,0.065320
100_10-with-60_50,0.060000
100_10-with-50_40,0.056744
100_10-with-50_100,0.058519
100_10-with-50_50,0.037824
100_10-with-50_70,0.070726
100_10-with-1_50,-0.147580
100_10-with-20_70,0.027854
100_10-with-30_100,0.020123
100_10-with-70_10,0.065591
100_10-with-100_50,0.105000
100_10-with-40_60,0.038247
100_10-with-70_80,0.048956
100_10-with-40_70,0.048889
100_10-with-90_50,0.091493
100_10-with-100_70,0.063333
100_10-with-80_10,-0.026833
100_10-with-10_30,0.009747
100_10-with-50_80,0.053582
100_10-with-70_1,0.011518
100_10-with-40_50,0.051215
100_10-with-100_100,0.057778
100_10-with-40_100,0.037417
100_10-with-70_40,0.080000
100_10-with-1_20,-0.161638
100_10-with-10_1,-0.017817
100_10-with-70_30,0.081944
100_10-with-1_30,-0.161493
100_10-with-30_20,-0.002535
100_10-with-10_80,0.022843
