sim_name,result
30_90-with-65_1,-0.003089
30_90-with-75_15,-0.021067
30_90-with-90_5,-0.061875
30_90-with-90_30,0.000000
30_90-with-1_35,-0.308001
30_90-with-35_55,0.011296
30_90-with-95_80,0.012306
30_90-with-100_10,-0.037528
30_90-with-35_100,-0.044023
30_90-with-100_95,0.012752
30_90-with-1_75,-0.573329
30_90-with-100_40,-0.002154
30_90-with-65_25,0.002640
30_90-with-60_70,0.035850
30_90-with-30_50,-0.007500
30_90-with-70_75,0.036040
30_90-with-90_60,0.019052
30_90-with-20_20,-0.023982
30_90-with-95_10,-0.022237
30_90-with-20_10,-0.051995
30_90-with-65_30,0.000000
30_90-with-30_35,0.001818
30_90-with-50_1,0.009808
30_90-with-70_35,0.005643
30_90-with-55_90,0.032455
30_90-with-40_30,-0.006554
30_90-with-15_55,-0.017990
30_90-with-80_55,0.006065
30_90-with-1_1,-0.144515
30_90-with-20_75,0.021381
30_90-with-50_45,0.007960
30_90-with-10_85,-0.074194
30_90-with-55_25,-0.015566
30_90-with-45_85,-0.034699
30_90-with-20_80,-0.026667
30_90-with-70_85,0.035556
30_90-with-15_15,-0.044212
30_90-with-75_30,-0.010235
30_90-with-45_10,-0.037946
30_90-with-20_45,-0.025880
30_90-with-100_60,0.001193
30_90-with-95_30,0.002126
30_90-with-15_80,-0.035491
30_90-with-5_30,-0.093532
30_90-with-15_5,-0.056528
30_90-with-95_55,0.003729
30_90-with-1_40,-0.353339
30_90-with-80_1,-0.010466
30_90-with-80_35,-0.001275
30_90-with-95_20,-0.001985
30_90-with-50_55,0.004815
30_90-with-5_100,-0.197326
30_90-with-20_5,-0.068819
30_90-with-90_20,-0.008251
30_90-with-55_30,-0.013616
30_90-with-10_10,-0.038523
30_90-with-45_60,0.023348
30_90-with-50_20,-0.017691
30_90-with-10_90,-0.098387
30_90-with-45_25,-0.004473
30_90-with-1_65,-0.515542
30_90-with-30_70,-0.065000
30_90-with-45_75,-0.031336
30_90-with-10_50,-0.048008
30_90-with-5_25,-0.093161
30_90-with-5_10,-0.073098
30_90-with-5_90,-0.195188
30_90-with-75_50,0.003120
30_90-with-85_100,0.022551
30_90-with-75_60,0.000000
30_90-with-40_90,0.026833
30_90-with-65_60,0.008141
30_90-with-65_50,0.010752
30_90-with-90_15,-0.024845
30_90-with-15_20,-0.023600
30_90-with-60_55,0.020628
30_90-with-100_35,0.006273
30_90-with-35_1,0.004486
30_90-with-25_60,-0.039265
30_90-with-50_5,-0.093296
30_90-with-90_95,0.014866
30_90-with-15_35,-0.027794
30_90-with-40_25,-0.001516
30_90-with-70_20,-0.024077
30_90-with-80_95,0.017817
30_90-with-75_10,-0.028605
30_90-with-1_60,-0.462341
30_90-with-35_95,-0.013608
30_90-with-35_20,-0.021365
30_90-with-70_70,-0.006124
30_90-with-30_5,-0.052941
30_90-with-95_25,0.000000
30_90-with-1_15,-0.245726
30_90-with-35_80,-0.070436
30_90-with-35_70,0.009656
30_90-with-95_40,0.001136
30_90-with-75_85,0.013906
30_90-with-95_95,0.000000
30_90-with-5_80,-0.200670
30_90-with-1_25,-0.283203
30_90-with-5_65,-0.124769
30_90-with-15_75,-0.048519
30_90-with-65_55,0.015286
30_90-with-60_45,-0.003563
30_90-with-100_80,0.010140
30_90-with-35_85,-0.231341
30_90-with-5_50,-0.112409
30_90-with-50_35,0.006737
30_90-with-60_10,-0.023056
30_90-with-25_55,-0.022546
30_90-with-65_45,0.000000
30_90-with-55_1,-0.002145
30_90-with-90_1,0.003589
30_90-with-55_60,0.012239
30_90-with-75_90,0.049910
30_90-with-60_30,0.008729
30_90-with-15_1,-0.029798
30_90-with-100_30,-0.008112
30_90-with-30_30,-0.020000
30_90-with-10_25,-0.037824
30_90-with-10_60,-0.034744
30_90-with-30_65,-0.004000
30_90-with-40_5,-0.071152
30_90-with-80_30,-0.006097
30_90-with-80_90,0.014311
30_90-with-5_45,-0.099822
30_90-with-25_65,-0.019477
30_90-with-45_15,-0.032550
30_90-with-60_40,-0.006644
30_90-with-35_35,-0.019905
30_90-with-90_25,0.002141
30_90-with-85_80,0.025773
30_90-with-45_55,0.005166
30_90-with-1_45,-0.357935
30_90-with-10_70,-0.086667
30_90-with-50_10,-0.057785
30_90-with-1_5,-0.220746
30_90-with-25_40,-0.035758
30_90-with-55_45,-0.001892
30_90-with-90_40,-0.002390
30_90-with-30_75,-0.020000
30_90-with-70_90,0.015652
30_90-with-15_10,-0.046463
30_90-with-55_95,0.014195
30_90-with-60_85,0.005898
30_90-with-85_5,-0.047719
30_90-with-55_55,-0.002239
30_90-with-35_25,-0.019932
30_90-with-20_65,-0.018257
30_90-with-55_75,0.015859
30_90-with-35_40,-0.015908
30_90-with-60_60,0.011111
30_90-with-65_35,-0.007421
30_90-with-60_90,0.026833
30_90-with-100_25,-0.007864
30_90-with-15_95,0.011287
30_90-with-90_75,0.030551
