sim_name,result
90_30-with-100_100,0.000000
90_30-with-40_100,0.017861
90_30-with-70_40,0.040825
90_30-with-1_20,-0.211514
90_30-with-10_1,-0.029779
90_30-with-70_30,-0.017889
90_30-with-1_30,-0.212575
90_30-with-30_20,-0.035386
90_30-with-10_80,-0.021470
90_30-with-90_80,0.020000
90_30-with-100_20,-0.160000
90_30-with-10_100,0.001761
90_30-with-10_40,-0.035556
90_30-with-1_80,-0.172102
90_30-with-80_70,-0.009631
90_30-with-40_1,-0.022231
90_30-with-20_40,-0.020279
90_30-with-1_90,-0.170122
90_30-with-1_100,-0.175634
90_30-with-30_10,-0.071429
90_30-with-90_100,0.017143
90_30-with-70_100,0.010887
90_30-with-20_1,0.014378
90_30-with-30_1,-0.010947
90_30-with-20_30,-0.038333
90_30-with-20_100,-0.030476
90_30-with-50_30,-0.008944
90_30-with-70_60,-0.005345
90_30-with-50_90,0.005345
90_30-with-90_90,0.020000
90_30-with-60_80,0.013287
90_30-with-20_50,-0.002476
90_30-with-1_10,-0.204492
90_30-with-20_90,0.000000
90_30-with-90_10,-0.170000
90_30-with-1_70,-0.189852
100_10-with-100_40,0.066667
100_10-with-60_70,0.058797
100_10-with-30_50,0.006827
100_10-with-90_60,0.101494
100_10-with-20_20,0.008889
100_10-with-20_10,-0.008944
100_10-with-50_1,0.056516
100_10-with-40_30,-0.008571
100_10-with-1_1,-0.120423
100_10-with-20_80,0.022892
100_10-with-100_60,0.096000
100_10-with-1_40,-0.163627
100_10-with-80_1,0.033190
100_10-with-90_20,0.226667
100_10-with-10_10,-0.031802
100_10-with-50_20,0.045783
100_10-with-10_90,0.023337
100_10-with-30_70,0.044618
100_10-with-10_50,0.000000
100_10-with-40_90,0.019157
100_10-with-70_20,0.028571
100_10-with-1_60,-0.131515
100_10-with-70_70,0.043644
100_10-with-100_80,0.037143
100_10-with-60_10,-0.008944
100_10-with-90_1,0.083608
100_10-with-60_30,0.061237
100_10-with-100_30,0.050000
100_10-with-30_30,0.019808
100_10-with-10_60,0.005340
100_10-with-80_30,0.000000
100_10-with-80_90,0.065008
100_10-with-60_40,0.063136
100_10-with-10_70,0.015364
100_10-with-50_10,-0.017889
100_10-with-90_40,0.087457
100_10-with-70_90,0.048417
100_10-with-60_60,0.050684
100_10-with-60_90,0.067648
100_10-with-40_10,-0.029814
100_10-with-10_20,-0.007911
100_10-with-70_50,0.038313
100_10-with-20_60,0.027325
100_10-with-60_20,0.087287
100_10-with-60_100,0.049752
100_10-with-30_40,0.011931
100_10-with-100_90,0.025000
100_10-with-100_1,0.088889
100_10-with-50_60,0.056000
100_10-with-40_80,0.051571
100_10-with-40_20,0.038335
100_10-with-40_40,0.029938
100_10-with-60_1,0.074532
100_10-with-80_20,-0.048990
100_10-with-30_60,0.019382
100_10-with-30_80,0.032381
100_10-with-80_60,0.087636
100_10-with-80_40,0.069488
100_10-with-80_100,0.062543
100_10-with-80_50,0.056737
100_10-with-90_70,0.068815
100_10-with-80_80,0.054433
100_10-with-60_50,0.056667
100_10-with-50_40,0.044134
100_10-with-50_100,0.054744
100_10-with-50_50,0.061101
100_10-with-50_70,0.085360
100_10-with-1_50,-0.127224
100_10-with-20_70,0.009285
100_10-with-30_100,0.046953
100_10-with-70_10,-0.017889
100_10-with-100_50,0.100000
100_10-with-40_60,0.040638
100_10-with-70_80,0.038649
100_10-with-40_70,0.044444
100_10-with-90_50,0.048154
100_10-with-100_70,0.060000
100_10-with-80_10,-0.035777
100_10-with-10_30,-0.003899
100_10-with-50_80,0.062512
100_10-with-70_1,0.046073
100_10-with-40_50,0.017925
100_10-with-100_100,0.040000
100_10-with-40_100,0.040980
100_10-with-70_40,0.080000
100_10-with-1_20,-0.159842
100_10-with-10_1,-0.005939
100_10-with-70_30,0.081944
100_10-with-1_30,-0.159718
100_10-with-30_20,0.015209
100_10-with-10_80,0.014685
100_10-with-90_80,0.067713
100_10-with-100_20,0.220000
100_10-with-10_100,0.020741
100_10-with-10_40,0.005714
100_10-with-1_80,-0.126570
100_10-with-80_70,0.081210
100_10-with-40_1,0.035459
100_10-with-20_40,0.004240
100_10-with-1_90,-0.125775
100_10-with-1_100,-0.137224
100_10-with-30_10,-0.005111
100_10-with-90_100,0.048516
100_10-with-70_100,0.045811
100_10-with-20_1,0.028923
100_10-with-30_1,0.027927
100_10-with-20_30,0.000000
100_10-with-20_100,0.006305
100_10-with-50_30,0.084215
100_10-with-70_60,0.079724
100_10-with-50_90,0.030739
100_10-with-90_90,0.051995
100_10-with-60_80,0.052970
100_10-with-20_50,0.028577
100_10-with-1_10,-0.155081
100_10-with-20_90,0.040000
100_10-with-90_10,0.160997
100_10-with-1_70,-0.141159
100_40-with-60_70,0.003714
100_40-with-30_50,0.000000
100_40-with-90_60,0.061101
100_40-with-20_20,-0.026186
100_40-with-20_10,-0.019080
100_40-with-50_1,-0.020539
100_40-with-40_30,-0.017693
100_40-with-1_1,-0.134391
100_40-with-20_80,0.012247
100_40-with-100_60,0.050000
100_40-with-1_40,-0.169507
100_40-with-80_1,-0.008898
100_40-with-90_20,-0.061101
100_40-with-10_10,-0.053333
100_40-with-50_20,-0.003369
100_40-with-10_90,-0.012460
100_40-with-30_70,0.004772
100_40-with-10_50,-0.041535
100_40-with-40_90,0.000000
100_40-with-70_20,-0.025607
100_40-with-1_60,-0.173915
100_40-with-70_70,0.026667
100_40-with-100_80,0.035000
100_40-with-60_10,-0.066850
100_40-with-90_1,-0.049296
100_40-with-60_30,0.008729
100_40-with-100_30,-0.140000
100_40-with-30_30,-0.032954
100_40-with-10_60,-0.009747
100_40-with-80_30,-0.040825
100_40-with-80_90,0.010954
100_40-with-60_40,-0.008944
100_40-with-10_70,-0.013333
100_40-with-50_10,-0.069354
100_40-with-90_40,-0.035777
100_40-with-70_90,0.009965
100_40-with-60_60,0.004082
100_40-with-60_90,0.017889
100_40-with-40_10,-0.038103
100_40-with-10_20,-0.035091
100_40-with-70_50,0.011429
100_40-with-20_60,0.002182
100_40-with-60_20,-0.012247
100_40-with-60_100,0.021381
100_40-with-30_40,-0.020444
100_40-with-100_90,0.004000
100_40-with-100_1,-0.010256
100_40-with-50_60,0.026949
100_40-with-40_80,0.010243
100_40-with-40_20,-0.008571
100_40-with-40_40,0.000000
100_40-with-60_1,-0.023594
100_40-with-80_20,-0.106667
100_40-with-30_60,0.012380
100_40-with-30_80,0.009102
100_40-with-80_60,-0.013333
100_40-with-80_40,0.008944
100_40-with-80_100,0.034358
100_40-with-80_50,0.073485
100_40-with-90_70,0.049976
100_40-with-80_80,0.048008
100_40-with-60_50,0.008729
100_40-with-50_40,-0.003578
100_40-with-50_100,0.007317
100_40-with-50_50,0.021131
100_40-with-50_70,0.050439
100_40-with-1_50,-0.176006
100_40-with-20_70,-0.008480
100_40-with-30_100,0.010140
100_40-with-70_10,-0.071111
100_40-with-100_50,0.060000
100_40-with-40_60,0.008571
100_40-with-70_80,0.022988
100_40-with-40_70,0.010887
100_40-with-90_50,0.080000
100_40-with-100_70,0.000000
100_40-with-80_10,-0.112250
100_40-with-10_30,-0.051425
100_40-with-50_80,0.026186
100_40-with-70_1,-0.046657
100_40-with-40_50,0.011795
100_40-with-100_100,-0.010000
100_40-with-40_100,0.013333
100_40-with-70_40,0.029814
100_40-with-1_20,-0.156169
100_40-with-10_1,-0.033359
100_40-with-70_30,-0.022857
100_40-with-1_30,-0.183190
100_40-with-30_20,-0.034663
100_40-with-10_80,0.003694
100_40-with-90_80,0.033708
100_40-with-100_20,-0.090000
100_40-with-10_100,0.006829
100_40-with-10_40,-0.029814
100_40-with-1_80,-0.178113
100_40-with-80_70,0.026726
100_40-with-40_1,-0.007732
100_40-with-20_40,-0.017889
100_40-with-1_90,-0.147954
100_40-with-1_100,-0.164950
100_40-with-30_10,-0.054883
100_40-with-90_100,0.013108
100_40-with-70_100,0.017457
100_40-with-20_1,-0.004099
100_40-with-30_1,-0.016011
100_40-with-20_30,-0.024444
100_40-with-20_100,-0.016713
100_40-with-50_30,-0.014087
100_40-with-70_60,0.051215
100_40-with-50_90,0.008000
100_40-with-90_90,0.011711
100_40-with-60_80,0.030000
100_40-with-20_50,-0.004444
100_40-with-1_10,-0.163627
100_40-with-20_90,0.007807
100_40-with-90_10,-0.074963
100_40-with-1_70,-0.168849
60_70-with-30_50,-0.025607
60_70-with-90_60,-0.028571
60_70-with-20_20,-0.041740
60_70-with-20_10,-0.072161
60_70-with-50_1,-0.017167
60_70-with-40_30,-0.030551
60_70-with-1_1,-0.173615
60_70-with-20_80,-0.021822
60_70-with-100_60,-0.013093
60_70-with-1_40,-0.255950
60_70-with-80_1,0.005515
60_70-with-90_20,-0.006644
60_70-with-10_10,-0.078043
60_70-with-50_20,-0.031229
60_70-with-10_90,-0.040423
60_70-with-30_70,0.005963
60_70-with-10_50,-0.016843
60_70-with-40_90,-0.013333
60_70-with-70_20,-0.035132
60_70-with-1_60,-0.304749
60_70-with-70_70,0.071554
60_70-with-100_80,0.008729
60_70-with-60_10,-0.056667
60_70-with-90_1,-0.018248
60_70-with-60_30,-0.025000
60_70-with-100_30,-0.006667
60_70-with-30_30,-0.034482
60_70-with-10_60,-0.049305
60_70-with-80_30,-0.026186
60_70-with-80_90,-0.006667
60_70-with-60_40,0.026667
60_70-with-10_70,-0.025044
60_70-with-50_10,-0.072092
60_70-with-90_40,-0.017778
60_70-with-70_90,0.000000
60_70-with-60_60,-0.140000
60_70-with-60_90,0.070000
60_70-with-40_10,-0.074963
60_70-with-10_20,-0.050667
60_70-with-70_50,-0.052372
60_70-with-20_60,0.000000
60_70-with-60_20,-0.044000
60_70-with-60_100,0.033333
60_70-with-30_40,-0.008889
60_70-with-100_90,-0.020412
60_70-with-100_1,-0.017026
60_70-with-50_60,-0.040000
60_70-with-40_80,0.000000
60_70-with-40_20,-0.021909
60_70-with-40_40,-0.021381
60_70-with-60_1,-0.005797
60_70-with-80_20,-0.054772
60_70-with-30_60,-0.005714
60_70-with-30_80,-0.011429
60_70-with-80_60,0.016330
60_70-with-80_40,0.000000
60_70-with-80_100,0.037417
60_70-with-80_50,-0.020000
60_70-with-90_70,0.017889
60_70-with-80_80,-0.008165
60_70-with-60_50,-0.080000
60_70-with-50_40,-0.043729
60_70-with-50_100,0.006247
60_70-with-50_50,-0.008729
60_70-with-50_70,0.160997
60_70-with-1_50,-0.315281
60_70-with-20_70,-0.004472
60_70-with-30_100,0.013333
60_70-with-70_10,-0.045877
60_70-with-100_50,-0.032660
60_70-with-40_60,0.016330
60_70-with-70_80,-0.013333
60_70-with-40_70,-0.008944
60_70-with-90_50,0.015364
60_70-with-100_70,0.004472
60_70-with-80_10,-0.053099
60_70-with-10_30,-0.055282
60_70-with-50_80,0.026667
60_70-with-70_1,-0.017167
60_70-with-40_50,-0.026667
60_70-with-100_100,-0.007428
60_70-with-40_100,0.000000
60_70-with-70_40,0.000000
60_70-with-1_20,-0.236282
60_70-with-10_1,-0.036035
60_70-with-70_30,-0.004815
60_70-with-1_30,-0.261195
60_70-with-30_20,-0.069758
60_70-with-10_80,-0.028174
60_70-with-90_80,-0.005714
60_70-with-100_20,-0.032796
60_70-with-10_100,-0.009457
60_70-with-10_40,-0.031524
60_70-with-1_80,-0.328651
60_70-with-80_70,0.026833
60_70-with-40_1,-0.008272
60_70-with-20_40,-0.033425
60_70-with-1_90,-0.289248
60_70-with-1_100,-0.308241
60_70-with-30_10,-0.064011
60_70-with-90_100,-0.008889
60_70-with-70_100,0.000000
60_70-with-20_1,-0.038917
60_70-with-30_1,-0.039103
60_70-with-20_30,-0.026667
60_70-with-20_100,-0.051995
60_70-with-50_30,-0.009631
60_70-with-70_60,0.000000
60_70-with-50_90,-0.026186
60_70-with-90_90,-0.005121
60_70-with-60_80,0.120000
60_70-with-20_50,-0.024495
60_70-with-1_10,-0.197008
60_70-with-20_90,0.004082
60_70-with-90_10,-0.072739
60_70-with-1_70,-0.323316
30_50-with-90_60,0.041284
30_50-with-20_20,-0.024988
30_50-with-20_10,-0.091493
30_50-with-50_1,0.014853
30_50-with-40_30,0.096016
30_50-with-1_1,-0.186817
30_50-with-20_80,0.006247
30_50-with-100_60,0.012674
30_50-with-1_40,-0.562279
30_50-with-80_1,0.026904
30_50-with-90_20,0.005443
30_50-with-10_10,-0.078558
30_50-with-50_20,0.026726
30_50-with-10_90,-0.048008
30_50-with-30_70,0.030000
30_50-with-10_50,-0.017889
30_50-with-40_90,0.048154
30_50-with-70_20,0.018570
30_50-with-1_60,-0.521280
30_50-with-70_70,0.032660
30_50-with-100_80,0.026248
30_50-with-60_10,-0.049807
30_50-with-90_1,0.009630
30_50-with-60_30,0.051215
30_50-with-100_30,0.012380
30_50-with-30_30,-0.030000
30_50-with-10_60,0.000000
30_50-with-80_30,0.010106
30_50-with-80_90,0.017457
30_50-with-60_40,0.011429
30_50-with-10_70,-0.033333
30_50-with-50_10,-0.052372
30_50-with-90_40,0.008847
30_50-with-70_90,0.023333
30_50-with-60_60,-0.005714
30_50-with-60_90,0.042144
30_50-with-40_10,0.004815
30_50-with-10_20,-0.032071
